1,Kali,18,25,42,18,29,35,19,29,48,20,25,45,18,23,47
2,Ubuntu,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
3,Garuda,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
4,Arch,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
5,CentOS,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
6,Kali,18,25,42,17,19,45,19,29,48,20,25,40,18,27,47
7,Ubuntu,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
8,Garuda,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
9,Arch,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
10,CentOS,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
11,Kali,18,25,42,15,19,47,19,29,48,20,25,45,19,27,43
12,Ubuntu,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
13,Garuda,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
14,Arch,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
15,CentOS,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
16,Kali,18,25,42,17,19,45,19,29,48,18,25,45,17,23,47
17,Ubuntu,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
18,Garuda,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
19,Arch,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
20,CentOS,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
21,Kali,19,27,42,18,26,42,16,29,39,18,20,42,20,27,46
22,Ubuntu,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
23,Garuda,18,25,42,13,19,35,19,29,48,10,15,25,13,23,27
24,Arch,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
25,CentOS,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
26,Kali,18,25,42,17,19,45,19,29,48,18,24,45,18,23,47
27,Ubuntu,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
28,Garuda,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
29,Arch,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
30,CentOS,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
31,Kali,18,25,42,17,29,45,19,29,48,20,27,40,17,23,47
32,Ubuntu,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
33,Garuda,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
34,Arch,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
35,CentOS,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
36,Kali,18,25,42,16,19,45,19,29,48,18,25,45,15,23,47
37,Ubuntu,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
38,Garuda,18,25,42,13,19,35,19,29,48,10,15,25,13,23,27
39,Arch,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
40,CentOS,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
41,Kali,19,27,46,14,26,44,17,24,43,16,27,44,18,21,40
42,Ubuntu,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
43,Garuda,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
44,Arch,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
45,CentOS,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
46,Kali,18,25,42,17,19,35,19,29,48,16,25,45,18,23,37
47,Ubuntu,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
48,Garuda,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
49,Arch,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
50,CentOS,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
